"recno","Observer","Location","Desg","Month","Day","Year","m1","diam","dc","pa","scope","comments","jd","url"
"1808","P. Clay Sherrod","","73P/Schwassmann-Wachmann-C","04","13","2006","9.2","1.4'","5/9","232","0.41m RC @ f/3.3 ccd","Very well developed round coma (*m2=10.2ccd) with fine ion tail; jet in PA 254 deg","2453838.5000","ComBD13A83.jpg"
"1809","P. Clay Sherrod","","73P/Schwassmann-Wachmann-B","04","13","2006","9.9 (*)","1.5 x 0.8' e","7/9","228","0.41m RC @ f/3.3 ccd","A very active nuclear core (*m2=14.3ccd), becoming very elongated in PA 228 (same direction as tail); see image","2453838.5000","ComBD125F0.jpg"
"1817","P. Clay Sherrod","","73P/Schwassmann-Wachmann-B","04","17","2006","10.0 (*)","1.8 x 1.0'","7/9","222","0.41m RC @ f/3.3, KAF 0402 Kodak CCD chip","Beautifully defined nucleus (*m2=14.5ccd), with strong ion tail showing excellent symmetry; coma is highly elongated.","2453842.5000","ComBD65065.jpg"
"1819","P. Clay Sherrod","","73P/Schwassmann-Wachmann-B","04","19","2006","10.0","1.1' x 0.4'","7/9","220","0.41m RC @ f/3.3, Kodak KAF0402ME ccd","Note that overall size of coma seems quite diminished tonight, and comet's overall m1 brightness has maintained; highly concentrated nucleus and definite signs of fragmentation (see high res. inset)","2453844.5000","ComBD8F645.jpg"
"1820","P. Clay Sherrod","","73P/Schwassmann-Wachmann-C","04","19","2006","8.0 (*)","2.0 elong","5/9","226","0.41m RC @ f/3.3, Kodak KAF0402ME ccd","Coma appears strongly arched (see inset isophote image); very strong concentration in coma, but clearly differentiated","2453844.5000","ComBD8F97F.jpg"
"1822","P. Clay Sherrod","","73P/Schwassmann-Wachmann-G","04","19","2006","11.3","41""","5/9","218","0.41m RC @ f/3.3, Kodak KAF0402ME ccd","Coma is elongating rapidly, similar to ""B"" component, suggesting likely fragmentation; tail is developing equally to this morphological change","2453844.5000","ComBD8FB1C.jpg"
"1826","P. Clay Sherrod","","73P/Schwassmann-Wachmann-AQ","04","24","2006","15.6 (*)","n/a","8/9","220","0.41m RC @ f/3.3, SBIG/ST402 CCD","NEW designation for component of ""B""; this being the component opposite the sunward side of the nucleus (""B""); fragment is stellar in appearance with thin cloud of nebulosity; see 73P-B for additional info","2453849.5000","ComBDFA7EB.jpg"
"1827","P. Clay Sherrod","","73P/Schwassmann-Wachmann-R","04","24","2006","17.4","~8""","3/9","212","0.41m RC @ f/3.3, SBIG/ST402 CCD","Very faint and curving tail with diffuse and arched coma; this fragment appears to be weakening or dissentigrating altogether","2453849.5000",""
"1833","P. Clay Sherrod","","73P/Schwassmann-Wachmann-C","04","28","2006","7.7","1.5 x2.2'","5/9","221","0.41m RC @ f/3.3/SBIG ST402ME ccd","Tail in PA 221, with strong central condensation embedded in very dense coma; some reports indicate (M. Holloway) fragmentation of nucleus on April 27","2453853.5000","ComBE4CC93.jpg"
"1836","P. Clay Sherrod","","73P/Schwassmann-Wachmann-R","04","28","2006","14.2","17""","4/9","212","0.41m RC @ f/3.3/SBIG ST402ME ccd","Nicely developing, appearing singular in terms of nuclei; very strong coma with embedded nucleus (m2=16.6ccd); very short and wide tail for limited anti-sun span","2453853.5000","ComBE4D00F.jpg"
"1837","P. Clay Sherrod","","73P/Schwassmann-Wachmann-B","05","09","2006","6.9","3.5' x 3.1'","8/9","233","0.41m RC @ f/3.3, ST-402 MEccd","An incredible sight, with a multi-front (sunward side) ""bow shock"" wave(s); nucleus is most definitely singular in high resolution imaging (m2=9.9ccd); very sharp and narrow spike in PA 233","2453864.5000","ComBF30E15.jpg"
"1839","P. Clay Sherrod","","cP/2006 M3 (Barnard 177P)","07","19","2006","13.4","43""","6/9","60","0.4m RC @ f/5, 60-sec, SBIG ST402ME, Class I","Very faint sunward spike suspected toward south (upper right of nucleus); strong nucleus with some elongation (m2=15.6ccd)","2453935.5000","ComC51630C.jpg"
"1840","P. Clay Sherrod","","29P Schwassmann-Wachmann","04","12","2010","16.5*","305""","8/9","0","0.5m Astrograph, f/4.7, CCD bin 2 x 2","","2455298.5000",""
"1842","P. Clay Sherrod","","c2010 G1 (Boattini)","04","12","2010","15.7  (16.1m","12""","6/9","0","0.5m Astrograph, f/4.7, CCD bin 2 x 2","Quite nice, round and with a condensed core, about 1/2 area, no tail","2455298.5000",""
"1846","P. Clay Sherrod","","c2006 OF2 (Broughton)","04","12","2010","19.1 (m1)","10""","0","0","0.5m Dall Kirkham astrography, f/4.7, CCD, binned 2 x 2","Comet is very uniformly diffuse with no clear central condensation; somewhat elongated and irregular around perimeter","2455298.5000",""
"1848","P. Clay Sherrod","","c2008 E1 (Catalina)","04","11","2010","19.2","<5.0""","9/9","0","0.5m Dall Kirkham astrography, f/4.7, CCD, binned 2 x 2","Comet is entirely starlike, very faint without nebulosity","2455297.5000",""
"1849","P. Clay Sherrod","","c2009 U5 (Grauer)","04","11","2010","19.7","6""","7/9","0","0.5m Dall Kirkham Astrograph, f/4.7, CCD, binned 2 x 2","Very difficult due to small size and faintness; not starlike but slightly diffuse","2455297.5000",""
"1851","P. Clay Sherrod","","c2010 F1 (Boattini)","04","12","2010","18.8 (19.2 m","6""","3/9","0","0.5m Dall Kirkham astrograph, f/4.7, CCD, binned 2 x 2","Comet is very difficult, diffuse and small with no central condensation","2455298.5000",""
"1853","P. Clay Sherrod","","81P Wild 2","04","10","2010","~9, 11.9m2","244""","6/9","300","0.5m Dall Kirkham, f/4.7 w/CCD, 2 x 2 binning","Split tail in PA 300 deg., about 9' in length with CCD; head is ""boomerang shape"", or like buffalo horns and very interesting with stellar nucleus attached to curving appendages.  Comet has green hue in color CCD capture","2455296.5000",""
"1855","P. Clay Sherrod","","c2010 G2 (Hill)","04","13","2010","19.3m2","5""","5/9","none","0.5m f/4.7 Dall Kirkham astrograph, CCD, 2 x 2 binned","To date, this is the most recent comet discovery; a nice small nebulous comet, with no tail and a slight hint of central condensation; very close to ephemeris position","2455299.5000",""
"1856","P. Clay Sherrod","","p2010 A5 (LINEAR)","04","13","2010","16.2","12""","7/9","299","0.5m f/4.7 Dall Kirkham astrograph, CCD with 2 x 2 binning","This is the lowest altitude (S) comet accessible from ASO; far in the south, showing a very nice narrow tail (19"") and condensed coma with nucleus (m2=16.5)","2455299.5000",""
"1857","P. Clay Sherrod","","c2008 FK75 (Lemmon-Siding Spring)","04","13","2010","16.1*","11""","8/9","201","0.5m f/4.7 Dall Kirkham, CCD with 2 x 2 binning","Very nice distinct comet with very delicate tail in PA 201, about 13"" long and curving; nucleus (*m2=16.6) is very pronounced","2455299.5000",""
"1864","P. Clay Sherrod","","81P Wild 2","04","15","2010","11.3*","282""","7/9","291","0.5m f/4.7 Dall Kirkham astrography, CCD @ 2x2 binning","Comet has brightened and a possible jet at PA 252 deg; split tail and boomerang appearance continues, with tail in PA 291 for a minimum of .9 deg.","2455301.5000","Com135A52ED.jpg"
"1865","P. Clay Sherrod","","c2010 F1 (Boattini)","04","15","2010","18.9*","6""","7/9","11","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Possible wide extension (~5"") in PA 11 deg; comet is nearly stellar *=m2","2455301.5000",""
"1867","P. Clay Sherrod","","c2010 G2 (Hill)","04","15","2010","19.4","stellar","9/9","0","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","Very difficult, slow moving and virtually stellar in appearance","2455301.5000",""
"1868","P. Clay Sherrod","","c2007 Q3 (Siding Spring)","04","15","2010","12.3 (*)","38""","7/9","234","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","A very fine comet exhibiting a classic tail, becoming more fanned as time progresses; the tail is 513"" length in PA 234d, and very strong near coma; *m2=14.5; small fragment just outside of nucleus inside tail","2455301.5000",""
"1870","P. Clay Sherrod","","81P Wild 2","04","16","2010","~9","282""","7/9","291","0.5m f/4.7 astrograph (inset); 130mm APO f/5 main image, CCD","Composite image of both inner coma details and wide field (~2 deg.) of comet 81P Wild","2455302.5000","Com135AE723.jpg"
"1872","P. Clay Sherrod","","81P Wild 2","04","20","2010","8.6*","77/211","5/9","289d","0.5m f/4.7 Dall Kirkham astrograph, CCD, 2 x 2 binned","An fine sight; tail is split and horseshoe shaped from arcing coma; coma is differentiated into TWO sections, an elongated inner coma (77"" across) enveloped by a very thin and curving outer coma (211"" across); *m2=12.5","2455306.5000",""
"1874","P. Clay Sherrod","","29P Schwassmann-Wachmann","04","21","2010","12.9(*)","47""","7/9","round","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Comet has brightened significantly (12.9 total, *m2=14.2) and nucleus is clearly more diffuse than on previous dates; difficult diameter determinations due to strong moonlight nearby","2455307.5000",""
"1875","P. Clay Sherrod","","c2010 F1 (Boattini)","04","21","2010","19.2*","6""","4/9","~80","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Comet appears to have thin tail in PA 80 deg., some 8"" length, but difficult due to moonlight; very faint and quite diffuse with no clear central condensation","2455307.5000",""
"1878","P. Clay Sherrod","","c2005 L3 (McNaught)","04","21","2010","16.8(*)","13""","07/9","178-251","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Morphology has changed significantly on this comet in past days; rather than a curving tail, it is appearing fanned shaped, extending from PA 178 to 251 deg, 21"" and 16"" length respectively; high concentrated nucleus (*m2=17.6)","2455307.5000",""
"1879","P. Clay Sherrod","","P/2010 H2 (Vales)","04","21","2010","12.6","69x53""","4/9","elong.","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Comet is now exhibiting a more distinct nucleus if processed in high resolution (*m2=14.4); there is a ""shell"" perimeter at the NE quadrant of the elliptical coma; some extension suspected at PA 231 deg., possibly the beginning of tail structure","2455307.5000","Com1360847B.jpg"
"1880","P. Clay Sherrod","","81P Wild 2","04","21","2010","~8.5","233","6/9","298","0.5m f/4.7 Dall Kirkham astrograph, CCD, 2 x 2 binned","Tail is traced to about 10' in CCD frame; boomerang shape within SE coma continues, with the inner strong density coma measuring 69"" across surrounded by elliptical outer coma (*m2=12.3)","2455307.5000",""
"1881","P. Clay Sherrod","","P/2010 H2 (Vales)","05","05","2010","~13.2*","92""","5/9","159","0.5m f/4.7 Dall Kirkham astrography, CCD @ 2x2 binning","Some extension seen in PA 159, about 42"" length, or highly elongated in that direction; very distinct nuclear center now (*m2=15.7) with bright and uniform coma","2455321.5000",""
"1883","P. Clay Sherrod","","81P Wild 2","05","05","2010","11.9*","231""","5/9","289","0.5m f/4.7 Dall Kirkham astrograph, CCD at 2x2 binning","Comet appears virtually unchanged, but a bit brighter (m2=11.9*), tail vague in PA 289 for at least 10 min. arc length; solid nuclear center with no disentegration","2455321.5000",""
"1885","P. Clay Sherrod","","74P - Smirnova-Chernykh","05","08","2010","16.1 (*)","19""","8/9","295","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2x2","Comet is very condensed with strong nucleus (*m2=16.7) and very little diffuse coma; nice straight tail in PA 295d for 315""","2455324.5000",""
"1886","P. Clay Sherrod","","81P Wild 2","05","08","2010","~11 (*)","213""","5/9","295","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2x2","Tail unchanged, very vague, in PA 295 deg. some 11' length; larger nuclear center (*m2=12.4) with less evident coma","2455324.5000",""
"1887","P. Clay Sherrod","","P/2010 H2 (Vales)","05","08","2010","15.3 (*)","112""","7/9","elong","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2x2","Elongation evident in coma in PA 140d; comet is very large and diffuse with strong central condensation (*m2=15.3)","2455324.5000","Com137C81BD.jpg"
"1888","P. Clay Sherrod","","c2007 Q3 (Siding Spring)","05","08","2010","15.2 (*)","22""","7/9","198-241","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2x2","Beautiful structure, with fanned tail, 198d-241d, over 14' length in CCD frame; very pronounced and large central conds (*m2=15.9) with very little outer diffuse coma","2455324.5000",""
"1891","P. Clay Sherrod","","c2010 J1 (Boattini)","05","08","2010","16.1","17""","8/9","142*","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Very nice small comet, highly condensed with slightly curving fanned tail...broad tail; diffuse outer coma with large nuclear condensation; moving rapidly NW","2455324.5000",""
"1892","P. Clay Sherrod","","c2010 G2 (Hill)","05","08","2010","18.9","~3""","9/9","n/a","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","Comet appears stellar, no nebulosity noted","2455324.5000",""
"1893","P. Clay Sherrod","","c/2009 K5 (McNaught)","05","08","2010","9.2 (*)","204""","6/9","262","0.5m f/4.7 Dall Kirkham astrograph, CCD @ 2x2 binning","Note two fine jets emanating from coma toward east (to left) of coma","2455324.5000","Com137C208B.jpg"
"1895","P. Clay Sherrod","","c2007 Q3 (Siding Spring)","06","07","2010","16.1 (*)","27""","6/9","223*","0.51-m f/4.3 astrograph + CCD","Beautiful curving comet, with tail centered at 223 deg, but curving south, then west; strong coma with central conds. (*m2); tail measures total of 62.6 arc minutes length","2455354.5000",""
"1896","P. Clay Sherrod","","c2010 J1 (Boattini)","06","07","2010","17.0*","8""","8/9","135","0.51-m f/4.3 astrograph + CCD","Very thin and amorphous tail in PA 135 deg, 42"" length, nearly transparent.","2455354.5000",""
"1897","P. Clay Sherrod","","c2009 U3 (Hill)","06","07","2010","19.6 m2","33""","2/9","round","0.51-m f/4.3 astrograph + CCD","Major transformation of this comet within last 30 days; it is now very vague, large coma but nearly invisible with tiny central nucleus (*19.6 m2); very difficult","2455354.5000",""
"1899","P. Clay Sherrod","","c2008 FK75 (Lemmon-Siding Spring)","06","05","2010","16.8 m2","14""","7/9","214","0.51-m f/4.3 astrograph + CCD","Comet remains status quo; tail in 214 deg, 33"" length","2455352.5000",""
"1900","P. Clay Sherrod","","c2010 G2 (Hill)","06","07","2010","19.2","~6""","9/9","178","0.51-m f/4.3 astrograph + CCD","Comet is virtually unchanged, but somewhat dimmer in last 30 days; a very slight indication of a southward faint tail (10"" in PA 178 deg).","2455354.5000",""
"1904","P. Clay Sherrod","","103P (Hartley)","06","16","2010","18.3m2","9""","4/9","round","0.51-m f/4.3 astrograph + CCD","Comet is round, diffuse with slight central condensation; no tail","2455363.5000",""
"1905","P. Clay Sherrod","","c2008 FK75 (Lemmon-Siding Spring)","06","16","2010","16.9*","21""","7/9","221d","0.51-m f/4.3 astrograph + CCD","Comet shows the curving tail, dominantly in PA 221d, 91"" length; strong central conds (*m2=16.9)","2455363.5000",""
"1907","P. Clay Sherrod","","81P Wild 2","06","16","2010","13.8","82""","6/9","unknown","0.51-m f/4.3 astrograph + CCD","Comet is very low in west; previouis ""boomerang"" shape is now less evident with some strong indications of elongation of bright condensation","2455363.5000",""
"1908","P. Clay Sherrod","","c2010 J1 (Boattini)","06","16","2010","18.3*","8""","7/9","round","0.51-m f/4.3 astrograph + CCD","Round, quite small","2455363.5000",""
"1911","P. Clay Sherrod","","c2006 Q1 (McNaught)","07","15","2010","18.9*","7""","4/9","round","0.51-m f/4.3 astrograph + CCD","Quite diffuse and seemingly irregular but overall round shape; *m2=18.9","2455392.5000",""
"1912","P. Clay Sherrod","","c2010 J2 (McNaught)","07","15","2010","17.0","9""","7/9","round","0.51-m f/4.3 astrograph + CCD","Comet is very compact with strong central condensation; m1=17.0; some outer flaring is seen to the SW of the main nucleus, but no tail","2455392.5000",""
"1916","P. Clay Sherrod","","237P (LINEAR)","08","17","2010","19.8","<5""","8/9","n/a","0.51m astrograph @ f/4.9 CCD","Very faint, stellar with perhaps a hint of nebulosity.","2455425.5000",""
"1918","P. Clay Sherrod","","244P (Scotti)","10","31","2010","19.6","5""","8/9","n/a","0.51-m f/4.3 astrograph + CCD","Comet is round, nearly stellar, with some hint of diffusity and nebulosity","2455500.5000",""
"1922","P. Clay Sherrod","","c2008 S3 (Boattini)","11","05","2010","18.3*","08""","5/9","round","0.51-m f/4.3 astrograph + CCD","Comet is essentially round, but with a slight extension (tail?) in eastward direction, same density as diffuse coma (*m2)","2455505.5000",""
"1927","P. Clay Sherrod","","p2009 K5 (McNaught)","11","11","2010","16.1*","8""","8/9","0","0.5m ASO Astrograph f/4, w/CCD","","2455511.5000",""
"1929","P. Clay Sherrod","","244P (NEAT)","11","27","2010","16.5*","10""","6/9","255","0.51m ASO Astrograph @ f/4.8 + CCD","Very tiny comet with clear spiked tail in PA 255 deg for 32""","2455527.5000",""
"1930","P. Clay Sherrod","","123P West-Hartley","11","27","2010","18.6","8""","7/9","round","0.51m ASO Astrograph @ f/4.8 + CCD","Diffuse and somewhat irregular, no tail; total mag. = 18.6","2455527.5000",""
"1931","P. Clay Sherrod","","p2009 K5 (McNaught)","11","27","2010","16.6*","20""","7/9","20d","0.51m ASO Astrograph @ f/4.8 + CCD","Very vague and broad tail iln PA 20 deg., for 231""; very nice comet","2455527.5000",""
"1934","P. Clay Sherrod","","c2009 Y1 (Catalina)","11","29","2010","13.4*","25""","6/9","12.7","0.51 ASO Astrograph, f/4.8 + CCD","Comet is very large and distinct, with large round nuclear region (*m2=13.4); very diffuse and broad tail centered at 12.7 deg, for 174""","2455529.5000",""
"1936","P. Clay Sherrod","","c2010 B1 (Cardinal)","12","03","2010","14.3","42""","6/9","354","0.51m f/4.8 Astrograph + CCD","Beautiful, stellar nucleus (m2=15.1) with very vague and broadening tail for 186"" in PA 354 deg.","2455533.5000",""
"1937","P. Clay Sherrod","","c/2009 K5 (McNaught)","12","03","2010","16.0*","8""","8/9","15","0.51m f/4.8 Astrograph + CCD","Tail in PA 15, 232"" length, very vague; nucleus strong (*m2=16.0) with very little coma","2455533.5000",""
"1938","P. Clay Sherrod","","123P West-Hartley","12","03","2010","18.1","6""","8/9","stellar","0.51m f/4.8 Astrograph + CCD","Very stellar in appearance, no nebulosity","2455533.5000",""
"1939","P. Clay Sherrod","","c2010 S1 (LINEAR)","12","03","2010","18.2","7""","8/9","stellar","0.51m f/4.8 Astrograph + CCD","Very pinpoint and stellar in appearance, no nebulosity","2455533.5000",""
"1941","P. Clay Sherrod","","p2002 VP94 (LINEAR)","01","03","2011","16.2","10""","8/9","SW","0.51-m f/4.3 astrograph + CCD","Shows stubby SW tail, or perhaps elongation of coma; very compressed","2455564.5000",""
"1942","P. Clay Sherrod","","p2010 WK (LINEAR)","01","03","2011","16.9","9""","4/9","round","0.51-m f/4.3 astrograph + CCD","Very fine comet, with round coma, no tail.  Possible embedded nuceus; coma is very symmetrical","2455564.5000",""
"1947","P. Clay Sherrod","","10P (Tempel 2)","01","27","2011","18.6*","45"" irreg","2/9","35","0.51-m f/4.3 astrograph + CCD","An intriguing object, with a very broad and nearly transparent fan tail centered in PA 34 deg; distinct stellar nucleus (*m2=18.6) imbedded in SW edge of large coma","2455588.5000",""
"1949","P. Clay Sherrod","","c2010 S1 (LINEAR)","01","27","2011","16.2","7""","8/9","elong","0.51-m f/4.3 astrograph + CCD","Slight elongation NW; not quite stellar with bright nucleus, irregular perimeter","2455588.5000",""
"1950","P. Clay Sherrod","","c2009 Y1 (Catalina)","01","27","2011","15.1","28""","6/9","11.5","0.51-m f/4.3 astrograph + CCD","Very nice comet with distinct and strong nucleus, very thin northward-facing tail, 98"" length","2455588.5000",""
"1952","P. Clay Sherrod","","P/2004 F3 (NEAT)","01","28","2011","18.7 *","5""","8/9","stellar","0.5m ASO Astrograph @ f/4.9 + CCD","Some confusion about this comet; newer designation has it far to W. of actual position; comet is only slightly diffuse, nearly stellar","2455589.5000",""
"1954","P. Clay Sherrod","","c2010 X1 (Elenin)","01","28","2011","19.2","4""","8/9","stellar","0.5m ASO Astrograph @ f/4.9 + CCD","Comet is stellar in appearance and quite fainter than prediction; tiny with only a hint of nebulosity","2455589.5000",""
"1955","P. Clay Sherrod","","103P (Hartley)","01","29","2011","15.3*","25""","7/9","10.8","0.5m f/4.9 ASO Astrography +CCD","Fairly round, but hint of tail or extension in PA 10.8, some 54"" length; strong core (*m2=15.3)","2455590.5000",""
"1957","P. Clay Sherrod","","p2010 WK (LINEAR)","01","29","2011","18.6","7""","3/9","round","0.5m f/4.9 ASO Astrograph +CCD","Very diffuse and circular, tiny nucleus but not much concentration","2455590.5000",""
"1958","P. Clay Sherrod","","31P (Schwassmann-Wachmann 2)","01","29","2011","18.7","7""","7/9","stellar","0.5m f/4.9 ASO Astrograph +CCD","Nearly stellar but clearly slight nebulosity; round","2455590.5000",""
"1960","P. Clay Sherrod","","c2011 A3 (Gibbs)","01","30","2011","17.4","9""","4/9","round","0.51m f/4.9 ASO Astrograph + CCD","Very far SE (3' arc) from predicted position; comet is round and uniformly diffuse; no central condensation","2455591.5000",""
"1962","P. Clay Sherrod","","103P (Hartley)","03","01","2011","15.8*","13""","6/9","round","0.5m f/4.9 ASO Astrograph + CCD","Very diffuse and nearly invisible round coma surrounding bright nucleus (*m2=15.8); no tail","2455621.5000",""
"1964","P. Clay Sherrod","","p2010 WK (LINEAR)","03","01","2011","17.8","6""","6/9","irreg.","0.5m f/4.9 ASO Astrograph + CCD","Some diffuse structure to coma, irregular in shape","2455621.5000",""
"1966","P. Clay Sherrod","","c2011 A3 (Gibbs)","03","01","2011","16.7","11""","7/9","round","0.5m f/4.9 ASO Astrograph + CCD","Very impressive round and bright, uniform density across strong coma with only very slight nebulosity around periphery","2455621.5000",""
"1973","P. Clay Sherrod","","c2010 G2 (Hill)","03","03","2011","16.4*","0","7/9","210","0.51-m f/4.3 astrograph + CCD","Very strong and distinct stellar-like nucleus, small nebulosity; broad and diffuse tail, 15"" length in PA 210 deg","2455623.5000",""
"1974","P. Clay Sherrod","","c2007 VO53 Spacewatch","03","03","2011","19.0","<5""","9/9","n/a","0.51-m f/4.3 astrograph + CCD","Stellar in appearance, very small and easily mistaken for faint star in CCD","2455623.5000",""
"1975","P. Clay Sherrod","","c2010 X1 (Elenin)","03","12","2011","15.9","14""","7/9","302","0.51m f/4.9 ASO astrograph with CCD binned 2 x 2","Comet is developing nicely; tail evident in CCD, 34"" length in PA 302d; coma is condensed with no evident stellar nucleus","2455632.5000",""
"1976","P. Clay Sherrod","","29P Schwassmann-Wachmann","03","12","2011","14.8","26""","5/9","round","0.51m f/4.9 ASO astrograph with CCD binned 2 x 2","Comet has wide extension, very faint in CCD to east, like a fanned tail; very round strong nuclear region but not stellar; the comet is visibly brighter by about a magnitude than previous dates","2455632.5000",""
"1977","P. Clay Sherrod","","123P West-Hartley","03","20","2011","17.3*","12""","7/9","90","0.51m ASO astrograph @ f/4.9 + CCD 2x2 binning","Very small and diffuse round cloud surrounding very distinct stellar (17.3* mag.) nucleus; very faint but distinct tail nearly due east","2455640.5000",""
"1978","P. Clay Sherrod","","p2010 WK (LINEAR)","03","20","2011","18.3","~5""","7/9","stellar","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binning","Very difficult in full moonlight and near field stars, stellar, no nebulosity","2455640.5000",""
"1987","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","02","2011","17.5","9""","8/9","starlike","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Far south of predicted position; new comet.  Starlike but large and extended (*m2=18.2), no coma, no tail","2455653.5000",""
"1989","P. Clay Sherrod","","29P Schwassmann-Wachmann","04","03","2011","12.0","40 x 50""","7/9","NE","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Very strong nucleus (m2=16.7) and comet fanned wide to NE; very bright, much more so than previous night","2455654.5000",""
"1991","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","03","2011","17.6","8""","8/9","n/a","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Unchanged, round nearly stellar with slight outer nebulosity; comet is far (28"") south of predicted position","2455654.5000",""
"1993","P. Clay Sherrod","","c2010 X1 (Elenin)","04","06","2011","16.3","14""","5/9","round","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Comet appears fainter, with less distinct nucleus (*m2=17.4ccd) even in ideal conditions","2455657.5000",""
"1994","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","06","2011","17.6","9""","8/9","228d?","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Continues to exhibit elongation in PA 228 deg., about 12"" length; not sure if following fragment, coma elongation or tail; appears to be ""solid"" as with nucleus (*m2=17.6ccd)","2455657.5000",""
"1998","P. Clay Sherrod","","29P Schwassmann-Wachmann","04","07","2011","16.1 (m2)","36"" x 93""","7/9","NE fan","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Spectacular appearance, with broad fanned tail stretching NE from very pronounced and stellar nucleus; comet overall size has grown and is distinctly fan=shaped, 36 x 94 seconds; very wide tail and nucleus embedded about 1/3 from pr. end to end of tail","2455658.5000",""
"1999","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","07","2011","17.7","8""","8/9","stellar","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Nucleus is disklike, but with little or no nebulosity","2455658.5000",""
"2002","P. Clay Sherrod","","c2010 G2 (Hill)","04","09","2011","16.5 (m2)","16""","7/9","219d","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","Very nice fanned tail in PA 219d, 63"" length, broad at end, but very diffuse; very little coma but large nuclear center","2455660.5000",""
"2005","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","10","2011","17.6","9""","6/9","round","0.51m ASO astrograph @ f/4.9 + CCD, 2x2 binned","Comet is disk-like, resembling planetary neb.; no tail and coma is extended, circular without centr. condensation; very small and uniform","2455661.5000",""
"2006","P. Clay Sherrod","","c2010 X1 (Elenin)","04","29","2011","16.0","14""","7/9","Fan to E","0.51m ASO f/4.9 astrograph with CCD binned 2 x 2","Comet has very distinct and starlike nucleus (m2=17.3ccd) with coma fanning toward the east, overall round but spreading toward E","2455680.5000",""
"2008","P. Clay Sherrod","","c2011 F1 (LINEAR)","04","29","2011","17.4","8""","8/9","stellar","0.51m ASO f/4.9 astrograph with CCD binned 2 x 2","Comet is nearly stellar with little coma seen","2455680.5000",""
"2016","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","01","2011","10.3","75""","6/9","56 deg","0.51m f/4.9 ASO astrograph with CCD, binned 2 x 2","An incredible outburst to the NE of the nucleus, with a very large circular plume in PA from the 16th mag. center; overall very round, but with a very strong concentration of coma NE of center, almost like a jet emanating from nucleus into a bubble of coma.....IMAGE ATTACHED - north up","2455713.5000","Com15793C49.JPG"
"2017","P. Clay Sherrod","","c2011 F1 (LINEAR)","06","01","2011","16.4","8""","7/9","round","0.51m f/4.9 ASO astrograph with CCD, binned 2 x 2","Could be easily mistaken for 16th mag. star; diffuse however and not stellar via CCD","2455713.5000",""
"2018","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","01","2011","10.3","75""","0","0","High resolution negative field of 29P outburst 0.51m f/4.9 astrograph, 0359 UT","Details listed on preceding posting (above)","2455713.5000","Com15793BE0.jpg"
"2020","P. Clay Sherrod","","c2011 F1 (LINEAR)","06","07","2011","17.7","7 x 10""","7/9","elong 317","0.51m f/4.9 ASO astrograph with CCD, binned 2 x 2","Appears as a fuzzy star, elongated to NW; clearly diffuse but very compact and small","2455719.5000",""
"2022","P. Clay Sherrod","","c2009 UG89 (Lemmon)","06","07","2011","17.5","7""","8/9","elong","0.51m f/4.9 ASO astrograph with CCD, binned 2 x 2","Very small and elliptical in SE to NE orientation; slight fanning of coma to SE of center","2455719.5000",""
"2023","P. Clay Sherrod","","c2010 G2 (Hill)","06","10","2011","16.0","9""","5/9","29d","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","Thin tail in PA 29d, 28"" length ; very well developed comet observed in strong haze and moonlight","2455722.5000",""
"2024","P. Clay Sherrod","","115P Maury","06","10","2011","17.3","6""","8/9","stellar","0.5m f/4.7 Dall Kirkham astrograph, CCD binned 2 x 2","Very compact, small and almost starlike except for outer nebulosity surrounding very strong nuclear center","2455722.5000",""
